,buy1,buy2,spoil_ratio,succes_ratio
29,6.0,6.0,0.4834833129528078,0.7888113503889365
75,8.0,9.0,0.6339887018586712,0.9444342531772714
82,5.0,5.0,0.4025327330524247,0.6752182733674084
84,2.0,2.0,0.322824207115999,0.2729424969903098
86,3.0,4.0,0.359957686219216,0.4795740271356438
87,3.0,3.0,0.3280586935374027,0.3942340673468271
88,5.0,6.0,0.4286196778644354,0.7439549822056539
89,7.0,8.0,0.5603028815241513,0.904361229013584
96,6.0,7.0,0.494363528443474,0.8397863008259969
98,4.0,5.0,0.3756318285684831,0.618317328965436
