,"1-(s,Q)",1-DailyPurchase,"2-(s,S)",2-PeriodicallyPurchase,"3-(R,S)",3-Random,4-Random,Clients_N,DS_D,Demand_W,Distr1,Distr2,Fact,HC,K,Lt0,Lt1,MA,SS_%,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,1.0,2.0,0.0545131948185343,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0340425531914893,0.1914893617021276,0.3914893617021276,0.3829787234042553
1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,26.0,2.0,1.0,2.0,0.0122899637554438,200.0,4.0,4.0,500.0,0.85,0.2429936781323112,0.5930357770745429,0.0002642968053123,0.012865914141858,0.3557877026229549,0.4311992265484725,0.2001471566867144
2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,9.0,1.0,1.0,1.0,0.0561917790203601,200.0,4.0,4.0,500.0,0.85,0.0075500057407877,0.0770051002710723,0.0,0.0283071715474189,0.3654306861658383,0.4498241975661792,0.1564379447205635
3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,91.0,0.0,10.0,4.0,2.0,3.0,0.0786842563619195,200.0,4.0,4.0,500.0,0.85,0.0877899715746363,0.0772360092311903,0.0,0.0176632436982593,0.2239470261075941,0.6566919935583121,0.1016977366358345
4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,71.0,2.0,7.0,1.0,2.0,3.0,0.0975723849538855,200.0,4.0,4.0,500.0,0.85,0.0908279823105266,0.0593544139952584,0.0008459600706846,0.0055676156539619,0.2560883343350589,0.5666950007983574,0.1716490492126216
5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.0,1.0,14.0,2.0,6.0,1.0,0.0787359730571686,200.0,4.0,4.0,500.0,0.85,0.189855587063636,0.0256316658944875,0.0020083810363773,0.0255205164372625,0.1582185063349021,0.529780474183759,0.2864805030440763
6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0521998165538277,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0476190476190476,0.238095238095238,0.238095238095238,0.4761904761904761
7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,0.0,11.0,1.0,3.0,3.0,0.0931331874762061,200.0,4.0,4.0,500.0,0.85,0.0741444041081014,0.0986274010218116,0.0002811109504762,0.0277441470603248,0.239266241151266,0.5010299028854487,0.2319597089029605
8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,357.0,4.0,20.0,5.0,15.0,2.0,0.0142649993983773,200.0,4.0,4.0,500.0,0.85,0.0960327109529468,0.0762244686981681,0.0008222789859973,0.0215057039169505,0.2685904096299653,0.4651694309515738,0.2447344555015102
9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,193.0,3.0,17.0,11.0,15.0,2.0,0.097549888788405,200.0,4.0,4.0,500.0,0.85,0.0762357799250011,0.0270783908900886,0.000736944939274,0.0254942770972218,0.2712294912113161,0.5175776582506935,0.1856985734407686
10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,128.0,1.0,23.0,16.0,3.0,3.0,0.0760314451447033,200.0,4.0,4.0,500.0,0.85,0.0461372646010831,0.0224444962741263,0.0002186313212697,0.0315572241207772,0.2350595469469947,0.6061625098578817,0.1272207190743464
11,0.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,6.0,26.0,10.0,10.0,4.0,0.0209178884493385,200.0,4.0,4.0,500.0,0.85,0.1290451036392383,0.2322640781596941,0.0007213701361845,0.0087519188672804,0.2483302193983426,0.6031790699218706,0.1397387918125062
12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,24.0,2.0,3.0,1.0,0.0416393166246165,200.0,4.0,4.0,500.0,0.85,0.1312656467315716,0.4941604616813607,0.0,0.0023718450695741,0.4507348954882236,0.3006671284862358,0.2462261309559665
