Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,1,1,1,1,0.01,4,4,0.85,0,200,500,"3-Random","4-Random",0.0,0.0,0.0,0.0,0.23809523809523808,0.47619047619047616,0.2857142857142857
2,2,6,251,12,0.0775,4,4,0.85,11,200,500,"1-DailyPurchase","1-(s,Q)",0.0016325077950312963,0.0996894036845814,0.0023069886155638246,0.018369308944597255,0.16811602206756934,0.16821287472706098,0.6453017942607725
2,3,10,500,8,0.05500000000000001,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0011850924804745963,0.06647731757998976,0.040470439704949714,0.049166167851988615,0.22353378878025115,0.19160945298152912,0.5356905903862311
2,4,3,376,13,0.06625,4,4,0.85,2,200,500,"3-Random","4-Random",1.4732594519119224e-05,0.03984500345026566,0.024048788153846885,0.02368846340959912,0.2130632196169741,0.10181314960783701,0.6614351673655898
1,4,15,750,4,0.0325,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.001405415931151552,0.08401225870668715,0.11014448437071825,0.060461606598290085,0.2941964045181132,0.3302900706682558,0.31505191821534095
1,2,13,875,6,0.02125,4,4,0.85,9,200,500,"1-DailyPurchase","2-(s,S)",0.0009555740336429648,0.10170030477575104,0.01879541338929198,0.02105683519854936,0.21476296645618978,0.29904178957613153,0.46513840876912926
1,4,8,126,3,0.043750000000000004,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.007690682442425523,0.22055784182574367,0.6630586820093436,0.15473963942047303,0.4242385243076402,0.26044682035287287,0.160575015919014
2,2,18,625,10,0.08875000000000001,4,4,0.85,6,200,500,"3-Random","4-Random",0.0046111801592252505,0.19832241801812645,0.006666054975025129,0.04109473149718085,0.12704820339918166,0.23995671977298985,0.5919003453306477
2,4,9,938,2,0.083125,4,4,0.85,12,200,500,"1-DailyPurchase","2-(s,S)",0.00410874401041829,0.08820476649233874,0.037132684234818344,0.15275433762265153,0.18048660399278071,0.1446629998738154,0.5220960585107524
1,2,19,438,9,0.038125000000000006,4,4,0.85,5,200,500,"3-Random","4-Random",0.0007756187808178504,0.09523052120032965,0.03282095793427648,0.030226749257292917,0.1953914049442501,0.3346653807215185,0.4397164650769385
2,4,16,63,7,0.094375,4,4,0.85,7,200,500,"3-Random","3-(R,S)",0.0024248042020983624,0.08130945633358354,0.28410509535790424,0.017186045728369907,0.29281040906976524,0.28824411873193495,0.40175942646992985
2,1,14,188,5,0.060625000000000005,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.004334070610633592,0.13723985890652557,0.2978458844359937,0.0785571666943781,0.1893605094122559,0.40318281842626746,0.32889950546709856
1,2,7,563,14,0.04937500000000001,4,4,0.85,14,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.029350298534187195,0.29369287626365986,0.00388569905863313,0.1129029638355932,0.045902453322107906,0.16681497764371264,0.6743796051985862
1,3,5,688,12,0.015625,4,4,0.85,1,200,500,"1-DailyPurchase","1-(s,Q)",0.001910294899266809,0.11369368868844089,0.018667501027625863,0.008758829382194196,0.15520164479215706,0.19826336036899914,0.6377761654566496
2,5,19,157,12,0.052187500000000005,4,4,0.85,10,200,500,"3-Random","1-(s,Q)",0.0023575164399645444,0.11326271482372467,0.07665370031420828,0.024800072491609704,0.24266963448555987,0.25802311240360587,0.4745071806192245
2,3,2,813,4,0.07187500000000001,4,4,0.85,3,200,500,"2-PeriodicallyPurchase","4-Random",0.005265002101268761,0.05459184780672131,0.021720659361151542,0.08055210128045748,0.17654769719139277,0.12404516124234001,0.6188550402858097
1,5,12,313,11,0.026875000000000003,4,4,0.85,10,200,500,"1-DailyPurchase","2-(s,S)",0.00033974670221913596,0.0870260663875104,0.048695144969755966,0.011546608818469516,0.2800256773441252,0.2778374501252902,0.43059026371211495
1,3,10,657,5,0.09718750000000001,4,4,0.85,2,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0012277429218977651,0.05478008070641057,0.005669913351266873,0.05653420820463951,0.28225987417293713,0.23748960259856902,0.42371631502385443
2,2,5,906,8,0.029687500000000006,4,4,0.85,14,200,500,"3-Random","4-Random",0.0013257168904330027,0.07394634348541622,0.019338535924791015,0.0815015708718088,0.23342018983340382,0.17582274263850836,0.5092554966562791
2,3,8,781,10,0.0409375,4,4,0.85,0,200,500,"1-DailyPurchase","2-(s,S)",0.000704224750252333,0.10410045576954101,0.019547604876446925,0.0031286178138703307,0.09929931626322347,0.11374692035146611,0.7838251455714401
2,2,12,32,14,0.018437500000000002,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.002175720513159224,0.20533610787719894,0.3552530885116609,0.015027334127784505,0.2833459051261771,0.4292372622733112,0.27238949847272725
1,4,15,407,1,0.0746875,4,4,0.85,6,200,500,"1-DailyPurchase","2-(s,S)",0.0035335689045936395,0.10003864485379364,0.04200106711722727,0.10040734153379939,0.36040020292051017,0.2812704624550764,0.2579219930906141
2,4,2,344,6,0.0240625,4,4,0.85,15,200,500,"3-Random","3-(R,S)",0.001275243562785947,0.11815035009065807,0.21424122343627922,0.08173683503532098,0.27386691897623805,0.12825358757902633,0.5161426584094148
