Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
1,1,1,1,1,0.01,4,4,0.85,0,200,500,"3-Random","4-Random",0.0,0.0,0.0,0.0,0.23809523809523808,0.47619047619047616,0.2857142857142857
3,6,18,32,10,0.058461538461538474,4,4,0.85,4,200,500,"1-DailyPurchase","1-(s,Q)",0.00024862161253052926,0.09488376967465989,0.16531336081954523,0.002462376169773868,0.325388927670023,0.2214627153272463,0.4506859808329568
2,4,9,215,2,0.016923076923076923,4,4,0.85,1,200,500,"3-Random","4-Random",0.0014480646059593428,0.06346334013526868,0.18601343258042435,0.030684319994721862,0.36759555176791486,0.1881587111639081,0.4135614170734554
2,4,4,674,14,0.07923076923076924,4,4,0.85,5,200,500,"1-DailyPurchase","1-(s,Q)",1.955717602300122e-05,0.004503948605920669,0.0013599725989212462,0.008110058670324962,0.04606302214095532,0.04463849838267871,0.9011884208060411
2,8,3,1072,7,0.044615384615384626,4,4,0.85,3,200,500,"3-Random","4-Random",3.842716589789664e-05,0.10112540567162313,0.006005162353446456,0.026936535038671525,0.1752482588884056,0.1085756411791509,0.6892395648937719
1,9,26,246,11,0.06538461538461539,4,4,0.85,4,200,500,"1-DailyPurchase","1-(s,Q)",0.0005858614968200404,0.11764253224737335,0.0018289099372275565,0.0070672795121128375,0.304288099153895,0.2782826080324365,0.4103620133015557
2,3,15,93,14,0.06591715976331362,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0027478530727238827,0.10271836301040506,0.21890754903144424,0.03843382901687763,0.3042005154566798,0.33990954098928694,0.3174561145371556
2,7,17,429,4,0.02384615384615385,4,4,0.85,1,200,500,"3-Random","4-Random",0.0008150060374445642,0.11665855195736538,0.07513791589516483,0.01720754271885531,0.3272973737176143,0.2737011880239888,0.38179389553954174
3,7,12,888,1,0.08615384615384616,4,4,0.85,6,200,500,"1-DailyPurchase","1-(s,Q)",0.0035634557135820065,0.1079667375676729,0.016363511092738047,0.1244441527608718,0.23821460205871542,0.16553927574170874,0.471801969438704
1,6,13,490,7,0.031301775147929,4,4,0.85,8,200,500,"1-DailyPurchase","1-(s,Q)",0.0006779628745625881,0.13288906855696395,0.009151129198969965,0.014402254145929905,0.28788568776456924,0.24281769176335768,0.4548943663261431
