,Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,1-DailyPurchase,2-PeriodicallyPurchase,3-Random,"1-(s,Q)","2-(s,S)","3-(R,S)",4-Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0,1.0,1.0,1.0,1.0,1.0,0.01,4.0,4.0,0.85,0.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.238095238095238,0.4761904761904761,0.2857142857142857
1,3.0,6.0,18.0,32.0,10.0,0.0584615384615384,4.0,4.0,0.85,4.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0002486216125305,0.0948837696746598,0.1653133608195452,0.0024623761697738,0.325388927670023,0.2214627153272463,0.4506859808329568
2,2.0,4.0,9.0,215.0,2.0,0.0169230769230769,4.0,4.0,0.85,1.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0014480646059593,0.0634633401352686,0.1860134325804243,0.0306843199947218,0.3675955517679148,0.1881587111639081,0.4135614170734554
3,2.0,4.0,4.0,674.0,14.0,0.0792307692307692,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.955717602300122e-05,0.0045039486059206,0.0013599725989212,0.0081100586703249,0.0460630221409553,0.0446384983826787,0.9011884208060412
4,2.0,8.0,3.0,1072.0,7.0,0.0446153846153846,4.0,4.0,0.85,3.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.842716589789664e-05,0.1011254056716231,0.0060051623534464,0.0269365350386715,0.1752482588884056,0.1085756411791509,0.6892395648937719
5,1.0,9.0,26.0,246.0,11.0,0.0653846153846153,4.0,4.0,0.85,4.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00058586149682,0.1176425322473733,0.0018289099372275,0.0070672795121128,0.304288099153895,0.2782826080324365,0.4103620133015557
6,2.0,3.0,15.0,93.0,14.0,0.0659171597633136,4.0,4.0,0.85,11.0,200.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0027478530727238,0.102718363010405,0.2189075490314442,0.0384338290168776,0.3042005154566798,0.3399095409892869,0.3174561145371556
7,2.0,7.0,17.0,429.0,4.0,0.0238461538461538,4.0,4.0,0.85,1.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008150060374445,0.1166585519573653,0.0751379158951648,0.0172075427188553,0.3272973737176143,0.2737011880239888,0.3817938955395417
8,3.0,7.0,12.0,888.0,1.0,0.0861538461538461,4.0,4.0,0.85,6.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003563455713582,0.1079667375676729,0.016363511092738,0.1244441527608718,0.2382146020587154,0.1655392757417087,0.471801969438704
9,1.0,6.0,13.0,490.0,7.0,0.031301775147929,4.0,4.0,0.85,8.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0006779628745625,0.1328890685569639,0.0091511291989699,0.0144022541459299,0.2878856877645692,0.2428176917633576,0.4548943663261431
10,2.0,2.0,24.0,643.0,5.0,0.0307692307692307,4.0,4.0,0.85,2.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008176780310679,0.1082727518526376,0.0338478068850821,0.0212902852479491,0.1394254515785584,0.314019010175309,0.5252652529981836
11,2.0,3.0,10.0,1286.0,9.0,0.0515384615384615,4.0,4.0,0.85,3.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.014125458364997,0.2142707422126172,2.4213347556685665e-05,0.0431822075087912,0.1062577638783343,0.1585371549899326,0.6920228736229418
12,2.0,1.0,34.0,460.0,12.0,0.0723076923076923,4.0,4.0,0.85,5.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0013392630456491,0.1323912747253556,0.0010785945534588,0.0110973614904511,0.0569373963320744,0.3221937881659896,0.6097714540114848
13,2.0,8.0,35.0,62.0,5.0,0.0174556213017751,4.0,4.0,0.85,7.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009955652095212,0.167219954648526,0.6082136147940624,0.0031773968674199,0.5171871185650887,0.2915845209678365,0.1880509635996548
14,2.0,6.0,23.0,307.0,1.0,0.0728402366863905,4.0,4.0,0.85,11.0,200.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0193818634665459,0.2248197759215791,0.7253689080137316,0.4535998995511271,0.1915941258003715,0.2190620786004707,0.1357438960480306
15,2.0,7.0,1.0,949.0,5.0,0.0936094674556213,4.0,4.0,0.85,13.0,200.0,500.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0017406340420668,0.014197646231006,0.0661132167213155,0.1920974855177673,0.1737784718408929,0.0866302819159408,0.5474937607253989
16,1.0,2.0,20.0,1102.0,2.0,0.093076923076923,4.0,4.0,0.85,6.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0017140213920008,0.1157089341084365,0.0337718396711202,0.0813195789387629,0.1573168539823719,0.322303895153928,0.4390596719249371
17,1.0,5.0,32.0,858.0,6.0,0.0376923076923077,4.0,4.0,0.85,2.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0016685850933783,0.1417053197052787,0.0034911103404287,0.0256906741589916,0.2553926881562573,0.3484559727487638,0.3704606649359871
18,2.0,2.0,29.0,919.0,10.0,0.0451479289940828,4.0,4.0,0.85,9.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008407960654098,0.08793118861947,0.0024590260344299,0.0152357741010099,0.1583838526887161,0.2904665431781801,0.5359138300320938
19,1.0,8.0,18.0,980.0,14.0,0.052603550295858,4.0,4.0,0.85,2.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005823340234971,0.0573048446478672,0.0,0.0421775705547497,0.318449549940688,0.2175935585458557,0.4217793209587064
20,3.0,3.0,6.0,276.0,6.0,0.024378698224852,4.0,4.0,0.85,8.0,200.0,500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0007637901465434,0.1024999462662639,0.0586778108249964,0.0091560630414444,0.1945361852432635,0.1529897409251968,0.6433180107900952
21,1.0,8.0,7.0,1347.0,13.0,0.0589940828402367,4.0,4.0,0.85,10.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003809901527056,0.0467919446155786,0.0,0.0163279644348755,0.2252110475308911,0.1307908911753184,0.627670096858915
22,1.0,1.0,12.0,368.0,5.0,0.0802958579881656,4.0,4.0,0.85,4.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0014279482900427,0.0755567923899979,0.0410946140318426,0.0408515370788987,0.1872346920189317,0.317333410035491,0.4545803608666784
23,2.0,9.0,21.0,705.0,9.0,0.0382248520710059,4.0,4.0,0.85,9.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005957769387589,0.086488629009191,0.0062203765683883,0.0096922109206371,0.2136226172378065,0.1898449152778652,0.586840256563691
