Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,9,4,212,10,0.0474877183812955,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0011531884671254673,0.07905434715721452,0.10638370051232734,0.052253298583751696,0.2726933316530368,0.15131021445544418,0.5237431553077673
2,3,5,412,7,0.03876990770453288,4,4,0.85,7,200,500,"3-Random","2-(s,S)",0.0005160343360284259,0.058298939571478844,0.02978472325702534,0.027760502347229467,0.26532424655171977,0.1513304595174414,0.5555847915836095
2,4,9,233,12,0.07794932757347481,4,4,0.85,2,200,500,"3-Random","3-(R,S)",0.0003255224843359595,0.0462995846155945,0.025141379050295853,0.02348061271150717,0.3153236332369147,0.2269607268962052,0.43423502715537293
3,7,23,197,11,0.021281408338275368,4,4,0.85,9,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0011215169198235738,0.09964405162881215,0.15660773696389144,0.019628491772120872,0.3229594736255251,0.26775681303859467,0.38965522156375937
1,7,32,178,14,0.04231517380150112,4,4,0.85,8,200,500,"1-DailyPurchase","4-Random",0.0005824597999564797,0.10364025265359161,0.005361746528002559,0.007060821872772641,0.35094927158071115,0.33300186341359517,0.30898804313292094
3,9,18,399,11,0.013169838900658358,4,4,0.85,7,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0005192817025938914,0.08656700503975502,0.027513961526182584,0.020007195362470854,0.3175613495090859,0.2217467644245378,0.44068469070390537
2,6,17,229,4,0.07470271371949891,4,4,0.85,7,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.003801018240252165,0.09677520440592366,0.2565368721845436,0.06459143406982679,0.3312992483992153,0.27121628273261755,0.3328930347983405
1,2,4,627,13,0.09548045353610232,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0004316928825704533,0.03582246348165408,0.0052285282819334086,0.07929677425102565,0.22297451861172554,0.15243393786547135,0.5452947692717776
1,9,30,399,6,0.02240260838778047,4,4,0.85,10,200,500,"3-Random","4-Random",0.0022813279735640728,0.11849810618537815,0.3187850013238899,0.03608169686597652,0.4129724010673267,0.3441748226182452,0.20677107944845155
3,1,14,816,11,0.05256379367532585,4,4,0.85,1,200,500,"2-PeriodicallyPurchase","4-Random",0.002277396926570523,0.0669458182204731,0.012877144469505688,0.04819324752244858,0.17292358911715539,0.2398888334612725,0.5389943298991234
