HC,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
0.01, 0, 0, 1, 0, 0, 0, 1, 6.406233107902884e-05, 0.07684995524206589, 0.01391437659997224, 0.0119082868990109, 0.1811965981023943, 0.1245767220997021, 0.6960065032681162
