,Distr1,Distr2,Fact,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative,v1_DailyPurchase,v1_s_Q,v2_PeriodicallyPurchase,v2_s_S,v3_R_S,v3_Random,v4_Random
1,7.0,25.0,1.0,0.0708978299989824,0.0210776063518081,7.075648655883489e-05,0.0281783852982357,0.2886391177826594,0.4439569890131533,0.2888183713497237,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5,1.0,16.0,1.0,0.0724509840020725,0.014912603279578,0.0001675178078577,0.0345128035997165,0.2809926206769686,0.4540194934843295,0.2777880230127575,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,1.0,8.0,1.0,0.0729961700009876,0.010588481109302,0.0003312312082477,0.0352631076589242,0.2672973596489524,0.4942931232085749,0.2294585440509759,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,1.0,48.0,1.0,0.0797200812528384,0.0106429613824236,0.000108728472587,0.0368255850760637,0.2848983909257166,0.4368150969392445,0.3126315609875747,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,1.0,12.0,1.0,0.0714735547988338,0.0123217170173714,0.0002553302072723,0.0370503532801439,0.2745220315631549,0.4655992525474255,0.2627798460485471,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,1.0,13.0,1.0,0.0717167649544256,0.0129244439365325,0.0002297965209633,0.0363996300567596,0.2761309706679701,0.4627003405526855,0.2664825603332172,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,19.0,28.0,1.0,0.0647988091714567,0.0222734372692984,4.228402224481863e-05,0.0237958944275527,0.2843461844593252,0.4531109636848107,0.2720524853154254,0.0,0.0,0.0,0.0,0.0,1.0,1.0
13,24.0,97.0,3.0,0.0765363135326342,0.0043896501375887,5.981431044246737e-05,0.0352770933946357,0.2665206534147604,0.4587862858986511,0.2926755007534834,0.0,0.0,0.0,0.0,0.0,1.0,1.0
14,1.0,5.0,1.0,0.0748566342188685,0.0095506318583263,0.0003843110985569,0.0328765345745563,0.2617083424592644,0.5204954967418941,0.2019520952117907,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,1.0,2.0,1.0,0.076320326651024,0.0085367819717477,0.0004223441131118,0.0311015940616573,0.2556588474517163,0.54419416677809,0.1804507856324042,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,1.0,10.0,1.0,0.0717700207615104,0.0113392524704447,0.0002996054464129,0.0369585252028566,0.2710523368750826,0.4767777283735794,0.249306668973103,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,1.0,11.0,1.0,0.0712311061424417,0.0117467635563347,0.0002837002469234,0.0377122543256597,0.272918932723742,0.4685004901520917,0.2591104063211652,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,1.0,20.0,1.0,0.0734407227110792,0.0180383253363366,0.0001099022656759,0.0321432474416589,0.2875552724821293,0.4424892668333222,0.2933123303652734,0.0,0.0,0.0,0.0,0.0,1.0,1.0
