,Unnamed: 0,Fact,Distr1,Distr2,v1_DailyPurchase,v2_PeriodicallyPurchase,v3_Random,v1_s_Q,v2_s_S,v3_R_S,v4_Random,lost_ratio_sales_fac,lost_ratio_sales_dis,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative,lost_ratio_sales_fac_real,lost_ratio_sales_dis_real,lost_ratio_sales_ret_real,stock_customer_MA_mean_relative_real,stock_distributor_MA_mean_relative_real,stock_retailer_MA_mean_relative_real,stock_factory_MA_mean_relative_real
3,3,2,10,26,0.0090070126887825,0.0692800946110577,1,0,0,0,1,0,0,1.778579818197134e-11,0.0271488194623148,0.2370360339046419,0.1699322192492412,0.5606701728504648,0.0005479616121380628,0.09563241410149097,0.0015973246739891388,0.029473206148751114,0.17065913008339492,0.18167971946476094,0.618187944303093
6,6,2,10,26,0.0090070126887822,0.0692800946110726,1,0,0,0,1,0,0,1.7785798181971898e-11,0.0271488194623143,0.2370360339046588,0.1699322192492576,0.5606701728504617,0.0003901107178863256,0.08604300547610345,0.0011701517316865936,0.024960352279454895,0.1693126848214529,0.14501118728624063,0.6607157756128517
26,27,2,10,40,0.0136695830499518,0.0774207259700336,1,0,0,0,1,0,0,5.72510364499176e-11,0.0268192082065648,0.2190404137778705,0.2226543621620684,0.5191506879674652,0.0020201023204849287,0.1035711828855936,0.001608268843997239,0.027179713016213074,0.19101251714772513,0.20221661974058044,0.5795911500954813
4,4,2,10,26,0.0402232574680827,0.071869563166308,0,1,0,0,1,0,0,6.32710151353489e-10,0.0501575767221242,0.263109604975608,0.1958255640774157,0.474555877814847,0.0009311267595056487,0.10839946028997606,0.0015271400559462075,0.02821673329700177,0.1968820611925446,0.17714417689784082,0.5977570286126127
2,2,2,10,26,0.04022325746809,0.0718695631662941,0,1,0,0,1,0,0,6.327101513537967e-10,0.0501575767221271,0.2631096049756411,0.195825564077416,0.4745558778148227,0.0003976424115563627,0.11146065535540713,0.0009919274066302662,0.027686052247747166,0.187946305826559,0.16907755906793043,0.6152900828577634
1,1,2,10,26,0.0402232574680892,0.0718695631662987,0,1,0,0,1,0,0,6.32710151353815e-10,0.0501575767221251,0.2631096049756442,0.1958255640774181,0.4745558778148397,0.0018240685198266675,0.11907525194355321,0.0019328023239516357,0.02834574531117252,0.1745970655362173,0.17126698673927943,0.6257902024133307
0,0,2,10,26,0.0402232574680843,0.0718695631662949,0,1,0,0,1,0,0,6.327101513538395e-10,0.0501575767221317,0.263109604975611,0.1958255640774172,0.4745558778148309,0.001238770602921723,0.07236613567011652,0.0014079869095478448,0.028839086919013407,0.2140644791028867,0.16424509548446717,0.5928513384936327
25,26,2,10,27,0.0419505834509197,0.0724213061866431,0,1,0,0,1,0,0,7.07177178941401e-10,0.0506855563943507,0.2624624094588079,0.1990867633530583,0.4706690811264991,0.002090691444264586,0.06937518281802683,0.00103589157447806,0.0260658660576053,0.20268254594485774,0.17774722620570543,0.5935043617918315
19,20,2,10,33,0.0538949321034644,0.0758145092581275,0,1,0,0,1,0,0,1.378697049465215e-09,0.0539654737645065,0.2586008295651691,0.2195086976258248,0.4474391897637718,0.0006647653420239631,0.0819092618235547,0.0010435466959725563,0.028613607671040042,0.20752593999537974,0.18339961115050943,0.5804608411830708
17,17,2,10,34,0.0560692693323582,0.0763973728040181,0,1,0,0,1,0,0,1.534755616946675e-09,0.0544422186245939,0.2578508797351412,0.2231403953221594,0.4437176534128396,0.0032085504272122175,0.07574875479973328,0.0009355641825002875,0.026729163443118244,0.19026155523222657,0.19153311140161558,0.5914761699230395
