Fact,Distr1,Distr2,Clients_N,Demand_W,DS_D,HC,Lt0,Lt1,SS_%,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,7,1,3,3,0,0.05451319481853435,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.0,0.0,0.03404255319148936,0.19148936170212766,0.3829787234042553,0.39148936170212767
2,2,1,6,26,7,0.01228996375544381,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0002642968053123658,0.2429936781323112,0.5930357770745429,0.012865914141858042,0.3557877026229549,0.20014715668671446,0.43119922654847254
1,1,1,38,9,0,0.056191779020360176,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0,0.007550005740787775,0.07700510027107234,0.02830717154741898,0.36543068616583835,0.1564379447205635,0.4498241975661792
3,4,2,91,10,0,0.0786842563619195,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0,0.08778997157463636,0.07723600923119037,0.017663243698259314,0.2239470261075941,0.10169773663583455,0.6566919935583121
3,1,2,71,7,2,0.09757238495388558,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0008459600706846637,0.0908279823105266,0.059354413995258405,0.005567615653961928,0.2560883343350589,0.17164904921262167,0.5666950007983574
1,2,6,85,14,1,0.07873597305716863,4,4,0.85,200,500,"3-Random","4-Random",0.002008381036377341,0.18985558706363606,0.025631665894487576,0.025520516437262542,0.15821850633490214,0.28648050304407635,0.529780474183759
1,3,1,2,2,0,0.052199816553827764,4,4,0.85,200,500,"3-Random","2-(s,S)",0.0,0.0,0.0,0.047619047619047616,0.23809523809523808,0.47619047619047616,0.23809523809523808
3,1,3,72,11,0,0.0931331874762061,4,4,0.85,200,500,"3-Random","2-(s,S)",0.00028111095047628226,0.0741444041081014,0.09862740102181161,0.02774414706032481,0.239266241151266,0.23195970890296058,0.5010299028854487
2,5,15,357,20,4,0.014264999398377392,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0008222789859973846,0.09603271095294685,0.07622446869816817,0.021505703916950565,0.2685904096299653,0.24473445550151027,0.4651694309515738
2,11,15,193,17,3,0.09754988878840502,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0007369449392740098,0.07623577992500115,0.02707839089008861,0.02549427709722185,0.2712294912113161,0.18569857344076865,0.5175776582506935
3,16,3,128,23,1,0.0760314451447033,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.00021863132126972805,0.046137264601083146,0.02244449627412632,0.0315572241207772,0.23505954694699477,0.1272207190743464,0.6061625098578817
4,10,10,51,26,6,0.020917888449338548,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.0007213701361845618,0.1290451036392383,0.2322640781596941,0.008751918867280488,0.24833021939834268,0.1397387918125062,0.6031790699218706
1,2,3,3,24,2,0.04163931662461657,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0,0.13126564673157162,0.4941604616813607,0.002371845069574122,0.4507348954882236,0.24622613095596652,0.3006671284862358
4,8,21,408,9,1,0.05785209782043628,4,4,0.85,200,500,"3-Random","2-(s,S)",0.00039923884709024333,0.08184218544116088,0.021829492388211566,0.011944622058991829,0.17682415778720312,0.16259045655163196,0.6486407636021732
3,8,5,139,25,4,0.04725480811835598,4,4,0.85,200,500,"3-Random","1-(s,Q)",0.00029332937314112645,0.02500345804384223,0.0,0.015149675649630441,0.18017590649376453,0.09062016089971946,0.7140542569568856
4,3,11,64,29,7,0.03806523621469923,4,4,0.85,200,500,"3-Random","3-(R,S)",0.0006986834806985124,0.0765112957042025,0.13766936205909408,0.01239150114964267,0.16147927846430646,0.19990236969831174,0.6262268506877391
3,17,30,395,26,6,0.09606405377177551,4,4,0.85,200,500,"3-Random","2-(s,S)",0.0007934932334660134,0.0653073922566448,0.001141305067402065,0.00756444358349443,0.08523308491572237,0.061199257003024164,0.8460032144977591
